HS_CODE,ITEM_DESC,PANEL,GROUP
90139010,For liquid crystal devices (LCD),ELECTRONIC COMPONENTS,Parts of LCD
90139090,Other Parts of LCD,ELECTRONIC COMPONENTS,Parts of LCD
90219010,Parts and Accessories of Hearing Aids,ELECTRONIC COMPONENTS,Parts of Hearing Aids
90223000,X-ray tubes,ELECTRONIC COMPONENTS,X ray tubes
90229010,X-ray valves,ELECTRONIC COMPONENTS,Parts of X Ray equiments
90279020,Printed Circuit Assemblies for measuing Instruments,ELECTRONIC COMPONENTS,Parts of Measuring Instruments 
91081100,Watch Movements - Electrically operated : with mechanical display only or with a device to which a mechanical display can be incorporated,ELECTRONIC COMPONENTS,Parts of Watches and Clocks
91081200,Watch movements with opto-electronic display only,ELECTRONIC COMPONENTS,Parts of Watches and Clocks
91081900,Other watch movements & Parts,ELECTRONIC COMPONENTS,Parts of Watches and Clocks
91091000,Movements Of alarm clocks,ELECTRONIC COMPONENTS,Parts of Watches and Clocks
91091090,Other parts of watches and clocks,ELECTRONIC COMPONENTS,Parts of Watches and Clocks
84433100,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, capable of connecting to an automatic data processing machine or to a network",COMPUTER HARDWARE,Printer and copier
84433210,Line printer,COMPUTER HARDWARE,Printer and copier
84433220,Dot matrix printer,COMPUTER HARDWARE,Printer and copier
84433230,Letter quality daisy wheel printer,COMPUTER HARDWARE,Printer and copier
84433240,Laser jet printer,COMPUTER HARDWARE,Printer and copier
84433250,Ink Jet printer,COMPUTER HARDWARE,Printer and copier
84433910,Ink-jet printing machine,COMPUTER HARDWARE,Printer and copier
84713010,Personal computer,COMPUTER HARDWARE,Personal Computer
84713090,Other personal computer,COMPUTER HARDWARE,Personal Computer
84714110,Micro Computer,COMPUTER HARDWARE,Personal Computer
84714120,Large/Main Frame Computer.,COMPUTER HARDWARE,Personal Computer
84714190,Others Personal computer,COMPUTER HARDWARE,Personal Computer
84714900,"Other, presented in the form of systems",COMPUTER HARDWARE,Personal Computer
84715000,"Processing unites other than those of sub-heading 8471 41 or 8471 49, whether or not containing in the same housing one or two of the following types of unit : storage units, input units, output units",COMPUTER HARDWARE,Personal Computer
84716010,Combined input or output units of automatic data processing machines,COMPUTER HARDWARE,Parts of PC
84716024,GRAPHIC PRINTER,COMPUTER HARDWARE,Printer 
84716025,PLOTTER,COMPUTER HARDWARE,Printer 
84716029,Other Printers,COMPUTER HARDWARE,Printer 
84716040,KEYBOARDS,COMPUTER HARDWARE,Peripherals
84716050,SCANNER,COMPUTER HARDWARE,Peripherals
84716060,MOUSE,COMPUTER HARDWARE,Peripherals
84716090,Other Parts of PC,COMPUTER HARDWARE,Parts of PC
84717010,FLOPPY DISC DRIVES,COMPUTER HARDWARE,Storage Units
84717020,Hard disc drives.,COMPUTER HARDWARE,Storage Units
84717030,Removal/exchangeable disc drives.,COMPUTER HARDWARE,Storage Units
84717040,Magnetic tape drives.,COMPUTER HARDWARE,Storage Units
84717050,Cartridge tape drive.,COMPUTER HARDWARE,Storage Units
84717060,CD ROM DRIVE,COMPUTER HARDWARE,Storage Units
84717070,DVD DRIVE,COMPUTER HARDWARE,Storage Units
84717090,Other Drives,COMPUTER HARDWARE,Storage Units
84718000,Other units of automatic data processing machines,COMPUTER HARDWARE,Parts of PC
84719000,Other Parts of PC,COMPUTER HARDWARE,Parts of PC
84732100,"Parts & accessories of electronic calculating machines of heading no. 8470 10, 8470 21 or 8471 29 ",COMPUTER HARDWARE,Parts of Calculators
84732900,Other parts of calculators,COMPUTER HARDWARE,Parts of Calculators
84733010,Micro processors,COMPUTER HARDWARE,Parts of PC
84733020,MOTHERBOARDS,COMPUTER HARDWARE,Parts of PC
84733030,Other mounted printed circuit boards for data processing machines,COMPUTER HARDWARE,Parts of PC
84733040,Head Stack,COMPUTER HARDWARE,Parts of PC
84733091,Network access controllers,COMPUTER HARDWARE,Parts of PC
84733092,Graphic and intelligence based script Technology (GIST) cards for multilingual computers,COMPUTER HARDWARE,PC cards
84733099,Other cards,COMPUTER HARDWARE,PC cards
84735000,Parts of Automatic data processing machines,COMPUTER HARDWARE,Parts of PC
85284200,CRT Monitor of a kind solely or principally used in an automatic data processing system of heading 8471,COMPUTER HARDWARE,Monitor
85284900,Other CRT monitors,COMPUTER HARDWARE,Monitor
85285200,Monitors solely or principally used in an automatic data processing system of heading 8471,COMPUTER HARDWARE,Monitor
85285900,Other Monitors,COMPUTER HARDWARE,Monitor
85286100,Projectors,COMPUTER HARDWARE,Projectors
85286900,"Other Projectors
",COMPUTER HARDWARE,Projectors
85238020,Information Technology software,COMPUTER SOFTWARE,Software
85238060,2-D/ 3-D computer graphics,COMPUTER SOFTWARE,Software
84433260,Facsimile machine,TELECOM EQUIPMENTS,Facsimile machine
84433290,Other Printing or Copying Machine,TELECOM EQUIPMENTS,Printer and copier
85171110,Push button type cordless phones,TELECOM EQUIPMENTS,Telephone sets
85171190,Other Cordless Telephones,TELECOM EQUIPMENTS,Telephone sets
85171210,Push button type Mobile phones,TELECOM EQUIPMENTS,Mobile phones
85171290,Other mobile phones,TELECOM EQUIPMENTS,Mobile phones
85171810,Other Push button type phones,TELECOM EQUIPMENTS,Telephone sets
85171890,Other telephone sets,TELECOM EQUIPMENTS,Telephone sets
85176100,Base stations,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176210,PLCC equipment,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176220,Voice frequency telegraphy,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176230,Modems (modulators-demodulators),TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176240,High Bit Rate digital subscriber line System (HDSL),TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176250,Digital Loop Carrier System (DLC),TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176260,Synchronous Digital Hierarchy Ssystem (SDH),TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176270,"Multiplexers, statistical multiplexers ",TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176290,Other reception / transmission apparatus ,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176910,ISDN System,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176920,ISDN Terminal Adaptor,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176930,Routers,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176940,X 25 pads,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176950,Subscriber end equipment,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176960,Set top boxes for gaining access to the Internet,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176970,Attachments for Telephones,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85176990,Other parts of telephones,TELECOM EQUIPMENTS,Telecom Transmission or Reception apparatus
85177010,"Populated, loaded or stuffed Printed Circuit Boards for transmission / reception apparatus",TELECOM EQUIPMENTS,Parts of transmission / reception apparatus
85177090,Other parts of transmission / reception apparatus,TELECOM EQUIPMENTS,Parts of transmission / reception apparatus
85195000,Telephone answering machines Other apparatus:,TELECOM EQUIPMENTS,Audio / Video Machine
85255010,Radio broadcast transmitter,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85255020,TV broadcast transmitter,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85255030,Broadcast equipment subsystem,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85255040,Communication jamming equipments,TELECOM EQUIPMENTS,Jamming Equipment
85255050,Wireless microphone,TELECOM EQUIPMENTS,Loudspeakers / Microphones
85255090,Other transmission apparatus,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85256011,Walkie talkie set,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85256012,Marine radio communication equipment,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85256013,Amateur radio equipment,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85256019,Other 2 way communication equipment,TELECOM EQUIPMENTS,Radio / TV transmission apparatus
85256091,VSAT Terminals,TELECOM EQUIPMENTS,Satellite communication equipment
85256092,Other satellite communicaton equipment,TELECOM EQUIPMENTS,Satellite communication equipment
85256099,Other satellite communicaton equipment,TELECOM EQUIPMENTS,Satellite communication equip ment
85258010,Television cameras,TELECOM EQUIPMENTS,Camera
85261000,Radar apparatus,TELECOM EQUIPMENTS,Radar Apparatus
85269150,VHF omni range equipment,TELECOM EQUIPMENTS,Navigational instruments
85269190,Other radio Navigational apparatus,TELECOM EQUIPMENTS,Navigational instruments
85269200,Radio remote control apparatus.,TELECOM EQUIPMENTS,Navigational instruments
85279911,Radio pagers,TELECOM EQUIPMENTS,Radio Communication Receiver
85279912,Demodulators,TELECOM EQUIPMENTS,Radio Communication Receiver
85279919,Other radio apparatus,TELECOM EQUIPMENTS,Radio Communication Receiver
85279990,Other radio apparatus,TELECOM EQUIPMENTS,Radio Communication Receiver
85291011,Dish Antenna for jamming equipment,TELECOM EQUIPMENTS,Dish Antenna
85291012,Dish Antenna for amateur radio communication jamming equipment,TELECOM EQUIPMENTS,Dish Antenna
85291019,Other Dish Antennas,TELECOM EQUIPMENTS,Dish Antenna
85291021,Antenna for Communication Jamming Equipment,TELECOM EQUIPMENTS,Aerials or Antenna 
85291022,Antenna for amateur radio communication jamming equipment,TELECOM EQUIPMENTS,Aerials or Antenna 
85291029,Other Antenna,TELECOM EQUIPMENTS,Aerials or Antenna 
85291091,Reflectors for communication jamming equipment,TELECOM EQUIPMENTS,Aerials or Antenna 
85291092,Reflectors for amateur radio,TELECOM EQUIPMENTS,Aerials or Antenna 
85291099,Other Reflectors,TELECOM EQUIPMENTS,Aerials or Antenna 
85299010,Parts for Communication jamming equipment,TELECOM EQUIPMENTS,Aerials or Antenna 
85299020,Parts for amateur radio communication equipment,TELECOM EQUIPMENTS,Aerials or Antenna 
85299090,Other parts of amateur radio and Jamming equipment,TELECOM EQUIPMENTS,Aerials or Antenna 
85437091,RF Power Amplifier and Noice Generators for Communication Jamming Equipment,TELECOM EQUIPMENTS,Jamming Equipment
90011000,"Optical Fibres, Optical Fibres Bundles and Cables",TELECOM EQUIPMENTS,Optical Fibre Cable
